Date,Open,High,Low,Close,Volume
12/26/14,112.1,114.52,112.01,113.99,33720951
12/29/14,113.79,114.77,113.7,113.91,27598920
12/30/14,113.64,113.92,112.11,112.52,29881477
12/31/14,112.82,113.13,110.21,110.38,41403351
1/2/15,111.39,111.44,107.35,109.33,53204626
1/5/15,108.29,108.65,105.41,106.25,64285491
1/6/15,106.54,107.43,104.63,106.26,65797116
1/7/15,107.2,108.2,106.7,107.75,40105934
1/8/15,109.23,112.15,108.7,111.89,59364547
1/9/15,112.67,113.25,110.21,112.01,53699527
1/12/15,112.6,112.63,108.8,109.25,49650790
1/13/15,111.43,112.8,108.91,110.22,67091928
1/14/15,109.04,110.49,108.5,109.8,48956588
1/15/15,110,110.06,106.66,106.82,60013996
1/16/15,107.03,107.58,105.2,105.99,78513345
1/20/15,107.84,108.97,106.5,108.72,49899907
1/21/15,108.95,111.06,108.27,109.55,48575897
1/22/15,110.26,112.47,109.72,112.4,53796409
1/23/15,112.3,113.75,111.53,112.98,46464828
1/26/15,113.74,114.36,112.8,113.1,55614979
1/27/15,112.42,112.48,109.03,109.14,95568749
1/28/15,117.62,118.12,115.31,115.31,146477063
1/29/15,116.32,119.19,115.56,118.9,84436432
1/30/15,118.4,120,116.85,117.16,83745461
2/2/15,118.05,119.17,116.08,118.63,62739100
2/3/15,118.5,119.09,117.61,118.65,51915749
2/4/15,118.5,120.51,118.31,119.56,70149743
2/5/15,120.02,120.23,119.25,119.94,42246245
2/6/15,120.02,120.25,118.45,118.93,43706567
2/9/15,118.55,119.84,118.43,119.72,38889797
2/10/15,120.17,122.15,120.16,122.02,62008506
2/11/15,122.77,124.92,122.5,124.88,73561797
2/12/15,126.06,127.48,125.57,126.46,74474466
2/13/15,127.28,127.28,125.65,127.08,54272219
2/17/15,127.49,128.88,126.92,127.83,63152405
2/18/15,127.62,128.78,127.45,128.72,44891737
2/19/15,128.48,129.03,128.33,128.45,37362381
2/20/15,128.62,129.5,128.05,129.5,48948419
2/23/15,130.02,133,129.66,133,70974110
2/24/15,132.94,133.6,131.17,132.17,69228130
2/25/15,131.56,131.6,128.15,128.79,74711746
2/26/15,128.78,130.87,126.61,130.42,91287529
2/27/15,130,130.57,128.24,128.46,62014847
3/2/15,129.25,130.28,128.3,129.09,48096663
3/3/15,128.96,129.52,128.09,129.36,37816283
3/4/15,129.1,129.56,128.32,128.54,31666340
3/5/15,128.58,128.75,125.76,126.41,56517146
3/6/15,128.4,129.37,126.26,126.6,72842060
3/9/15,127.96,129.57,125.06,127.14,88528487
3/10/15,126.41,127.22,123.8,124.51,68856582
3/11/15,124.75,124.77,122.11,122.24,68938974
3/12/15,122.31,124.9,121.63,124.45,48362719
3/13/15,124.4,125.4,122.58,123.59,51827283
3/16/15,123.88,124.95,122.87,124.95,35874300
3/17/15,125.9,127.32,125.65,127.04,51023104
3/18/15,127,129.16,126.37,128.47,65270945
3/19/15,128.75,129.25,127.4,127.5,45809490
3/20/15,128.25,128.4,125.16,125.9,68695136
3/23/15,127.12,127.85,126.52,127.21,37709674
3/24/15,127.23,128.04,126.56,126.69,32842304
3/25/15,126.54,126.82,123.38,123.38,51655177
3/26/15,122.76,124.88,122.6,124.24,47572869
3/27/15,124.57,124.7,122.91,123.25,39546151
3/30/15,124.05,126.4,124,126.37,47099670
3/31/15,126.09,126.49,124.36,124.43,42090553
4/1/15,124.82,125.12,123.1,124.25,40621437
